Date,Morning,Day,Evening,Night
2017-01-10,0,11,0,0
2017-01-11,0,14,32,3
2017-01-12,2,45,0,0
2017-01-13,0,5,0,5
2017-01-14,0,4,0,0
2017-01-15,0,5,0,0
2017-01-16,0,5,14,20
2017-01-17,7,21,1,3
2017-01-18,0,34,0,0
2017-01-19,0,21,0,0
2017-01-20,0,9,0,0
2017-01-21,0,0,0,0
2017-01-22,0,0,0,0
2017-01-23,0,37,0,0
2017-01-24,0,78,0,0
2017-01-25,0,11,0,0
2017-01-26,0,96,5,0
2017-01-27,10,19,0,5
2017-01-28,0,45,0,0
2017-01-29,0,0,0,0
2017-01-30,0,22,0,0
2017-01-31,1,60,3,22
2017-02-01,0,75,0,0
2017-02-02,0,18,0,2
2017-02-03,19,111,2,0
2017-02-04,0,0,0,0
2017-02-05,11,0,0,0
2017-02-06,0,23,2,62
2017-02-07,40,17,0,4
2017-02-08,0,67,14,0
2017-02-09,26,2,0,0
2017-02-10,0,74,10,27
2017-02-11,0,12,0,1
2017-02-12,0,0,0,0
2017-02-13,0,67,23,30
2017-02-14,2,35,0,0
2017-02-15,0,71,0,41
2017-02-16,0,50,0,0
2017-02-17,6,109,0,1
2017-02-18,30,39,0,0
2017-02-19,0,0,7,21
2017-02-20,3,28,0,0
2017-02-21,0,61,0,0
2017-02-22,0,11,0,0
2017-02-23,0,0,0,0
2017-02-24,0,0,0,0
2017-02-25,0,0,0,0
2017-02-26,0,0,0,0
2017-02-27,0,21,1,61
2017-02-28,0,63,21,20
2017-03-01,2,77,0,0
2017-03-02,0,213,25,124
2017-03-03,14,99,6,7
2017-03-04,0,11,24,8
2017-03-05,2,195,18,67
2017-03-06,0,124,21,11
2017-03-07,0,49,23,55
2017-03-08,0,16,26,84
2017-03-09,2,21,0,0
2017-03-10,0,2,17,0
2017-03-11,0,10,0,0
2017-03-12,4,0,0,0
2017-03-13,1,33,0,19
2017-03-14,7,30,0,0
2017-03-15,4,34,58,15
2017-03-16,0,149,3,18
2017-03-17,7,20,0,0
2017-03-18,0,0,0,4
2017-03-19,0,2,0,0
2017-03-20,0,26,0,0
2017-03-21,11,13,0,0
2017-03-22,8,7,5,15
2017-03-23,1,43,1,0
2017-03-24,0,37,0,1
2017-03-25,0,0,0,0
2017-03-26,0,0,0,0
2017-03-27,2,153,0,4
2017-03-28,17,74,26,69
2017-03-29,50,123,46,161
2017-03-30,4,56,0,5
2017-03-31,9,9,0,0
2017-04-01,0,0,0,0
2017-04-02,0,0,0,0
2017-04-03,9,26,0,9
2017-04-04,2,44,4,0
2017-04-05,0,68,0,0
2017-04-06,2,44,6,19
2017-04-07,13,80,1,46
2017-04-08,22,9,0,0
2017-04-09,48,1,0,0
2017-04-10,0,41,0,0
2017-04-11,12,216,106,166
2017-04-12,96,326,30,4
2017-04-13,66,59,0,44
2017-04-14,1,216,11,7
2017-04-15,0,11,0,0
2017-04-16,0,4,0,0
2017-04-17,0,89,1,0
2017-04-18,4,100,11,17
2017-04-19,4,131,22,222
2017-04-20,10,97,7,9
2017-04-21,0,275,0,0
2017-04-22,0,0,0,0
2017-04-23,0,0,0,0
2017-04-24,1,105,0,58
2017-04-25,35,288,51,148
2017-04-26,100,62,2,6
2017-04-27,13,140,4,0
2017-04-28,0,132,0,0
2017-04-29,0,3,0,0
2017-04-30,14,32,0,0
2017-05-01,0,0,0,0
2017-05-02,0,22,5,9
2017-05-03,11,19,0,0
2017-05-04,20,20,1,0
2017-05-05,7,9,0,53
2017-05-06,2,8,0,0
2017-05-07,0,13,17,117
2017-05-08,22,96,0,0
2017-05-09,0,278,0,2
2017-05-10,5,84,1,0
2017-05-11,13,9,0,0
2017-05-12,122,69,15,10
2017-05-13,0,20,0,0
2017-05-14,0,0,0,3
2017-05-15,0,17,0,0
2017-05-16,0,14,0,0
2017-05-17,0,57,5,14
2017-05-18,0,11,0,57
2017-05-19,55,210,0,10
2017-05-20,39,0,0,0
2017-05-21,12,10,0,0
2017-05-22,28,21,0,0
2017-05-23,1,134,4,0
2017-05-24,9,67,0,0
2017-05-25,0,74,0,0
2017-05-26,0,66,0,8
2017-05-27,13,45,1,18
2017-05-28,6,1,0,0
2017-05-29,9,65,9,2
2017-05-30,0,28,13,6
2017-05-31,32,63,0,0
2017-06-01,0,26,0,0
2017-06-02,0,11,2,2
2017-06-03,0,0,0,0
2017-06-04,0,0,0,0
2017-06-05,0,2,0,5
2017-06-06,0,19,2,0
2017-06-07,19,223,0,0
2017-06-08,0,130,0,0
2017-06-09,0,33,0,0
2017-06-10,0,40,28,12
2017-06-11,70,54,12,0
2017-06-12,2,123,0,0
2017-06-13,0,115,0,0
2017-06-14,9,22,0,0
2017-06-15,13,109,7,25
2017-06-16,14,135,4,4
2017-06-17,2,0,0,0
2017-06-18,0,3,0,2
2017-06-19,16,10,0,0
2017-06-20,3,175,6,0
2017-06-21,35,176,0,0
2017-06-22,5,7,0,0
2017-06-23,0,16,1,1
2017-06-24,0,1,4,6
2017-06-25,50,6,0,0
2017-06-26,6,53,0,0
2017-06-27,0,91,13,8
